Complexity,Loss,Equation
1,4.884303e-7,"0.0015623674"
3,1.2769732e-7,"x0 * 9.615643e-7"
4,8.1837406e-8,"sqrt(x0 * 1.8981812e-9)"
5,7.1801175e-8,"0.00046598475 - (x0 * -7.308441e-7)"
6,7.178567e-8,"log(1.0004653 - (x0 * -7.315243e-7))"
7,7.0255076e-8,"(539.9345 - (x0 * -7.201397e-7)) + -539.934"
9,6.749913e-8,"(x0 - ((x0 - 13.11922) * 0.9999992)) + -13.118796"
10,6.489233e-8,"(x0 * 1.0000004) + ((sqrt(x0) * 2.809764e-5) - x0)"
