Complexity,Loss,Equation
1,5.1692812e-5,"0.0090227965"
3,3.803774e-6,"x0 * 6.5325985e-6"
5,1.2162419e-6,"(x0 * x0) * 2.8113123e-9"
6,1.9894554e-7,"(x0 * 1.3893842e-7) * sqrt(x0)"
8,1.1952507e-7,"((x0 * 1.4855027e-7) - 2.1841353e-5) * sqrt(x0)"
9,1.1942187e-7,"x0 * ((sqrt(sqrt(x0)) * 2.0873622e-6) - 7.7625455e-6)"
10,1.1934581e-7,"(((x0 * 1.4910587e-7) - 2.4393503e-5) * sqrt(x0)) + 5.8959475e-5"
