Complexity,Loss,Equation
1,4.1083367e-5,"0.0091272"
3,6.3757184e-6,"x0 * 6.240335e-6"
5,6.1624555e-6,"(x0 * 6.6909042e-6) + -0.0009099421"
7,6.029677e-6,"x0 * ((x0 * 5.7587496e-10) + 4.932296e-6)"
