Complexity,Loss,Equation
1,1.565671e-5,"0.0079706535"
3,7.396093e-7,"x0 * 5.0883273e-6"
5,2.951838e-7,"(x0 * 4.4376584e-6) + 0.0013142868"
6,2.8959244e-7,"log((x0 * 4.4671083e-6) + 1.0013072)"
7,1.1140382e-7,"sqrt(sqrt(x0) * x0) * 3.4599525e-5"
8,1.1140376e-7,"(sqrt(sqrt(x0)) * 3.4599267e-5) * sqrt(x0)"
9,1.0824984e-7,"sqrt(sqrt(x0) * (x0 + -18.098406)) * 3.4773246e-5"
10,1.0541968e-7,"(1.6518166e-5 - (sqrt(sqrt(sqrt(x0))) * 4.3711543e-6)) * x0"
