Batch	mads_t028.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/21/2010	Date Collected	4/21/2010	Date Collected	4/21/2010	Date Collected	4/21/2010
Time Collected	10:33:55PM	Time Collected	10:34:01PM	Time Collected	10:34:08PM	Time Collected	10:34:15PM
							
Substrate Conc.	2.0627 mmol/l	Substrate Conc.	4.1254 mmol/l	Substrate Conc.	6.1880 mmol/l	Substrate Conc.	8.2507 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.001	0.000	-0.001	0.000	0.003	0.000	-0.007
49.000	0.006	49.000	0.004	49.000	0.007	49.000	-0.004
98.000	0.010	98.000	0.008	98.000	0.011	98.000	-0.001
147.000	0.016	147.000	0.014	147.000	0.016	147.000	0.003
196.000	0.020	196.000	0.018	196.000	0.020	196.000	0.006
245.000	0.025	245.000	0.023	245.000	0.024	245.000	0.009
294.000	0.030	294.000	0.028	294.000	0.028	294.000	0.014
343.000	0.034	343.000	0.032	343.000	0.032	343.000	0.017
392.000	0.039	392.000	0.036	392.000	0.036	392.000	0.021
441.000	0.045	441.000	0.040	441.000	0.040	441.000	0.025
490.000	0.048	490.000	0.045	490.000	0.045	490.000	0.028
539.000	0.052	539.000	0.048	539.000	0.049	539.000	0.032
588.000	0.056	588.000	0.052	588.000	0.053	588.000	0.035
637.000	0.060	637.000	0.057	637.000	0.056	637.000	0.039
686.000	0.064	686.000	0.060	686.000	0.060	686.000	0.043
735.000	0.067	735.000	0.064	735.000	0.065	735.000	0.047
784.000	0.072	784.000	0.068	784.000	0.068	784.000	0.050
833.000	0.076	833.000	0.071	833.000	0.071	833.000	0.054
882.000	0.078	882.000	0.075	882.000	0.075	882.000	0.057
931.000	0.081	931.000	0.079	931.000	0.078	931.000	0.060
980.000	0.085	980.000	0.082	980.000	0.082	980.000	0.064
1029.000	0.088	1029.000	0.085	1029.000	0.086	1029.000	0.067
1078.000	0.091	1078.000	0.089	1078.000	0.089	1078.000	0.070
1127.000	0.095	1127.000	0.092	1127.000	0.091	1127.000	0.074
1176.000	0.097	1176.000	0.095	1176.000	0.095	1176.000	0.077
1225.000	0.101	1225.000	0.098	1225.000	0.098	1225.000	0.080
1274.000	0.104	1274.000	0.101	1274.000	0.102	1274.000	0.083
1323.000	0.107	1323.000	0.104	1323.000	0.105	1323.000	0.086
1372.000	0.110	1372.000	0.108	1372.000	0.108	1372.000	0.088
1421.000	0.111	1421.000	0.111	1421.000	0.111	1421.000	0.092
1470.000	0.115	1470.000	0.113	1470.000	0.114	1470.000	0.095
1519.000	0.118	1519.000	0.116	1519.000	0.116	1519.000	0.098
1568.000	0.120	1568.000	0.119	1568.000	0.120	1568.000	0.101
1617.000	0.124	1617.000	0.123	1617.000	0.123	1617.000	0.104
1666.000	0.126	1666.000	0.125	1666.000	0.126	1666.000	0.106
1715.000	0.129	1715.000	0.128	1715.000	0.129	1715.000	0.110
1764.000	0.130	1764.000	0.131	1764.000	0.132	1764.000	0.112
1813.000	0.133	1813.000	0.134	1813.000	0.135	1813.000	0.115
1862.000	0.135	1862.000	0.136	1862.000	0.138	1862.000	0.119
1911.000	0.138	1911.000	0.139	1911.000	0.140	1911.000	0.120
1960.000	0.140	1960.000	0.142	1960.000	0.142	1960.000	0.123
2009.000	0.142	2009.000	0.144	2009.000	0.146	2009.000	0.125
2058.000	0.145	2058.000	0.147	2058.000	0.148	2058.000	0.128
2107.000	0.147	2107.000	0.149	2107.000	0.150	2107.000	0.131
2156.000	0.150	2156.000	0.152	2156.000	0.153	2156.000	0.134
2205.000	0.151	2205.000	0.154	2205.000	0.156	2205.000	0.137
2254.000	0.154	2254.000	0.157	2254.000	0.159	2254.000	0.138
2303.000	0.156	2303.000	0.159	2303.000	0.161	2303.000	0.142
2352.000	0.159	2352.000	0.162	2352.000	0.164	2352.000	0.144
2401.000	0.160	2401.000	0.164	2401.000	0.166	2401.000	0.146
2450.000	0.162	2450.000	0.167	2450.000	0.169	2450.000	0.148
2499.000	0.165	2499.000	0.169	2499.000	0.171	2499.000	0.152
2548.000	0.167	2548.000	0.171	2548.000	0.174	2548.000	0.153
2597.000	0.169	2597.000	0.174	2597.000	0.177	2597.000	0.156
2646.000	0.171	2646.000	0.177	2646.000	0.179	2646.000	0.159
2695.000	0.173	2695.000	0.179	2695.000	0.181	2695.000	0.162
