Batch	mads_t010.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/14/2010	Date Collected	4/14/2010	Date Collected	4/14/2010	Date Collected	4/14/2010
Time Collected	8:02:35PM	Time Collected	8:02:41PM	Time Collected	8:02:48PM	Time Collected	8:02:55PM
							
Substrate Conc.	1.8498 mmol/l	Substrate Conc.	3.6966 mmol/l	Substrate Conc.	5.5493 mmol/l	Substrate Conc.	7.3990 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.010	0.000	0.006	0.000	0.010
49.000	0.000	49.000	0.010	49.000	0.006	49.000	0.010
98.000	0.001	98.000	0.011	98.000	0.006	98.000	0.010
147.000	0.001	147.000	0.010	147.000	0.007	147.000	0.011
196.000	0.001	196.000	0.011	196.000	0.007	196.000	0.011
245.000	0.002	245.000	0.011	245.000	0.008	245.000	0.010
294.000	0.001	294.000	0.011	294.000	0.008	294.000	0.012
343.000	0.001	343.000	0.012	343.000	0.008	343.000	0.012
392.000	0.001	392.000	0.011	392.000	0.008	392.000	0.012
441.000	0.001	441.000	0.012	441.000	0.009	441.000	0.012
490.000	0.002	490.000	0.012	490.000	0.008	490.000	0.012
539.000	0.001	539.000	0.012	539.000	0.009	539.000	0.012
588.000	0.002	588.000	0.012	588.000	0.009	588.000	0.013
637.000	0.001	637.000	0.012	637.000	0.010	637.000	0.013
686.000	0.001	686.000	0.011	686.000	0.009	686.000	0.012
735.000	0.002	735.000	0.012	735.000	0.009	735.000	0.012
784.000	0.002	784.000	0.012	784.000	0.009	784.000	0.013
833.000	0.001	833.000	0.012	833.000	0.010	833.000	0.012
882.000	0.001	882.000	0.013	882.000	0.009	882.000	0.012
931.000	0.001	931.000	0.013	931.000	0.010	931.000	0.013
980.000	0.001	980.000	0.012	980.000	0.009	980.000	0.013
1029.000	0.001	1029.000	0.012	1029.000	0.009	1029.000	0.012
1078.000	0.002	1078.000	0.012	1078.000	0.009	1078.000	0.013
1127.000	0.001	1127.000	0.013	1127.000	0.009	1127.000	0.012
1176.000	0.001	1176.000	0.012	1176.000	0.010	1176.000	0.013
1225.000	0.001	1225.000	0.013	1225.000	0.009	1225.000	0.012
1274.000	0.001	1274.000	0.012	1274.000	0.009	1274.000	0.012
1323.000	0.001	1323.000	0.012	1323.000	0.010	1323.000	0.012
1372.000	0.001	1372.000	0.013	1372.000	0.010	1372.000	0.012
1421.000	0.001	1421.000	0.012	1421.000	0.009	1421.000	0.012
1470.000	0.001	1470.000	0.012	1470.000	0.009	1470.000	0.013
1519.000	0.001	1519.000	0.012	1519.000	0.010	1519.000	0.012
1568.000	0.001	1568.000	0.012	1568.000	0.010	1568.000	0.012
1617.000	0.001	1617.000	0.012	1617.000	0.010	1617.000	0.013
1666.000	0.001	1666.000	0.013	1666.000	0.009	1666.000	0.013
1715.000	0.001	1715.000	0.013	1715.000	0.010	1715.000	0.012
1764.000	0.001	1764.000	0.013	1764.000	0.010	1764.000	0.013
1813.000	0.000	1813.000	0.012	1813.000	0.010	1813.000	0.012
1862.000	0.001	1862.000	0.013	1862.000	0.010	1862.000	0.013
1911.000	0.000	1911.000	0.012	1911.000	0.010	1911.000	0.012
1960.000	0.001	1960.000	0.012	1960.000	0.010	1960.000	0.013
2009.000	0.000	2009.000	0.013	2009.000	0.010	2009.000	0.012
2058.000	0.001	2058.000	0.012	2058.000	0.010	2058.000	0.012
2107.000	0.000	2107.000	0.012	2107.000	0.010	2107.000	0.012
2156.000	0.000	2156.000	0.013	2156.000	0.010	2156.000	0.012
2205.000	0.000	2205.000	0.013	2205.000	0.010	2205.000	0.012
2254.000	0.001	2254.000	0.012	2254.000	0.010	2254.000	0.012
2303.000	0.000	2303.000	0.013	2303.000	0.011	2303.000	0.012
2352.000	0.000	2352.000	0.012	2352.000	0.009	2352.000	0.012
2401.000	0.000	2401.000	0.012	2401.000	0.010	2401.000	0.013
2450.000	0.000	2450.000	0.012	2450.000	0.011	2450.000	0.012
2499.000	0.000	2499.000	0.013	2499.000	0.011	2499.000	0.012
2548.000	0.000	2548.000	0.013	2548.000	0.010	2548.000	0.012
2597.000	0.001	2597.000	0.013	2597.000	0.011	2597.000	0.013
2646.000	0.000	2646.000	0.012	2646.000	0.010	2646.000	0.012
2695.000	0.001	2695.000	0.013	2695.000	0.011	2695.000	0.013
