Batch	mads_t022.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/20/2010	Date Collected	4/20/2010	Date Collected	4/20/2010	Date Collected	4/20/2010
Time Collected	9:31:40PM	Time Collected	9:31:46PM	Time Collected	9:31:54PM	Time Collected	9:32:00PM
							
Substrate Conc.	1.8498 mmol/l	Substrate Conc.	3.6966 mmol/l	Substrate Conc.	5.5493 mmol/l	Substrate Conc.	7.3990 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.019	0.000	0.009	0.000	0.021
49.000	0.000	49.000	0.018	49.000	0.009	49.000	0.022
98.000	0.000	98.000	0.019	98.000	0.009	98.000	0.022
147.000	0.000	147.000	0.018	147.000	0.009	147.000	0.022
196.000	0.000	196.000	0.019	196.000	0.009	196.000	0.022
245.000	0.000	245.000	0.018	245.000	0.010	245.000	0.021
294.000	0.000	294.000	0.017	294.000	0.009	294.000	0.022
343.000	-0.001	343.000	0.018	343.000	0.010	343.000	0.021
392.000	0.000	392.000	0.018	392.000	0.010	392.000	0.022
441.000	-0.001	441.000	0.018	441.000	0.009	441.000	0.022
490.000	-0.001	490.000	0.018	490.000	0.009	490.000	0.022
539.000	0.000	539.000	0.017	539.000	0.010	539.000	0.022
588.000	-0.001	588.000	0.018	588.000	0.009	588.000	0.022
637.000	-0.001	637.000	0.017	637.000	0.009	637.000	0.022
686.000	0.000	686.000	0.017	686.000	0.010	686.000	0.022
735.000	-0.001	735.000	0.018	735.000	0.010	735.000	0.022
784.000	0.000	784.000	0.017	784.000	0.010	784.000	0.022
833.000	-0.001	833.000	0.018	833.000	0.009	833.000	0.022
882.000	-0.001	882.000	0.018	882.000	0.009	882.000	0.021
931.000	-0.001	931.000	0.018	931.000	0.010	931.000	0.022
980.000	-0.001	980.000	0.017	980.000	0.010	980.000	0.021
1029.000	-0.001	1029.000	0.017	1029.000	0.010	1029.000	0.022
1078.000	-0.002	1078.000	0.018	1078.000	0.010	1078.000	0.021
1127.000	-0.001	1127.000	0.018	1127.000	0.010	1127.000	0.022
1176.000	-0.001	1176.000	0.017	1176.000	0.010	1176.000	0.022
1225.000	-0.001	1225.000	0.018	1225.000	0.010	1225.000	0.022
1274.000	0.000	1274.000	0.018	1274.000	0.010	1274.000	0.021
1323.000	-0.001	1323.000	0.017	1323.000	0.011	1323.000	0.022
1372.000	0.000	1372.000	0.017	1372.000	0.011	1372.000	0.022
1421.000	-0.001	1421.000	0.017	1421.000	0.011	1421.000	0.021
1470.000	-0.001	1470.000	0.018	1470.000	0.011	1470.000	0.022
1519.000	-0.001	1519.000	0.018	1519.000	0.011	1519.000	0.022
1568.000	-0.001	1568.000	0.018	1568.000	0.011	1568.000	0.022
1617.000	0.000	1617.000	0.018	1617.000	0.011	1617.000	0.023
1666.000	-0.001	1666.000	0.018	1666.000	0.011	1666.000	0.021
1715.000	-0.001	1715.000	0.018	1715.000	0.012	1715.000	0.022
1764.000	-0.001	1764.000	0.018	1764.000	0.011	1764.000	0.022
1813.000	0.000	1813.000	0.018	1813.000	0.011	1813.000	0.023
1862.000	0.000	1862.000	0.018	1862.000	0.011	1862.000	0.022
1911.000	-0.001	1911.000	0.018	1911.000	0.011	1911.000	0.022
1960.000	-0.001	1960.000	0.018	1960.000	0.012	1960.000	0.022
2009.000	-0.001	2009.000	0.018	2009.000	0.012	2009.000	0.022
2058.000	-0.001	2058.000	0.019	2058.000	0.012	2058.000	0.022
2107.000	0.000	2107.000	0.018	2107.000	0.012	2107.000	0.022
2156.000	0.000	2156.000	0.018	2156.000	0.013	2156.000	0.023
2205.000	0.000	2205.000	0.019	2205.000	0.013	2205.000	0.023
2254.000	0.000	2254.000	0.018	2254.000	0.012	2254.000	0.022
2303.000	0.000	2303.000	0.018	2303.000	0.012	2303.000	0.024
2352.000	0.001	2352.000	0.018	2352.000	0.013	2352.000	0.023
2401.000	0.000	2401.000	0.018	2401.000	0.012	2401.000	0.023
2450.000	0.000	2450.000	0.019	2450.000	0.012	2450.000	0.022
2499.000	0.000	2499.000	0.018	2499.000	0.013	2499.000	0.023
2548.000	0.000	2548.000	0.019	2548.000	0.013	2548.000	0.023
2597.000	0.000	2597.000	0.019	2597.000	0.013	2597.000	0.023
2646.000	0.001	2646.000	0.019	2646.000	0.013	2646.000	0.023
