Batch	rate041.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/30/2010	Date Collected	4/30/2010	Date Collected	4/30/2010	Date Collected	4/30/2010
Time Collected	2:23:08PM	Time Collected	2:23:13PM	Time Collected	2:23:21PM	Time Collected	3:07:56PM
							
Substrate Conc.	1.5286 mmol/L	Substrate Conc.	3.0571 mmol/L	Substrate Conc.	4.5857 mmol/L	Substrate Conc.	6.1142 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	0.009	0.000	0.014	0.000	0.021
60.000	0.001	60.000	0.012	60.000	0.017	60.000	0.024
120.000	0.004	120.000	0.015	120.000	0.021	120.000	0.028
180.000	0.006	180.000	0.018	180.000	0.025	180.000	0.032
240.000	0.009	240.000	0.022	240.000	0.029	240.000	0.036
300.000	0.011	300.000	0.025	300.000	0.033	300.000	0.041
360.000	0.014	360.000	0.029	360.000	0.037	360.000	0.046
420.000	0.016	420.000	0.033	420.000	0.042	420.000	0.050
480.000	0.018	480.000	0.037	480.000	0.046	480.000	0.055
540.000	0.021	540.000	0.040	540.000	0.050	540.000	0.060
600.000	0.023	600.000	0.044	600.000	0.054	600.000	0.065
660.000	0.026	660.000	0.048	660.000	0.059	660.000	0.071
720.000	0.029	720.000	0.052	720.000	0.064	720.000	0.075
780.000	0.031	780.000	0.056	780.000	0.068	780.000	0.080
840.000	0.034	840.000	0.060	840.000	0.072	840.000	0.086
900.000	0.037	900.000	0.064	900.000	0.077	900.000	0.091
960.000	0.039	960.000	0.068	960.000	0.082	960.000	0.096
1020.000	0.042	1020.000	0.071	1020.000	0.087	1020.000	0.101
1080.000	0.044	1080.000	0.075	1080.000	0.091	1080.000	0.107
1140.000	0.047	1140.000	0.079	1140.000	0.096	1140.000	0.112
1200.000	0.050	1200.000	0.083	1200.000	0.100	1200.000	0.117
1260.000	0.052	1260.000	0.088	1260.000	0.105	1260.000	0.123
1320.000	0.055	1320.000	0.091	1320.000	0.109	1320.000	0.128
1380.000	0.057	1380.000	0.095	1380.000	0.114	1380.000	0.133
1440.000	0.059	1440.000	0.099	1440.000	0.118	1440.000	0.138
1500.000	0.062	1500.000	0.103	1500.000	0.123	1500.000	0.143
1560.000	0.065	1560.000	0.107	1560.000	0.127	1560.000	0.149
1620.000	0.067	1620.000	0.111	1620.000	0.132	1620.000	0.154
1680.000	0.070	1680.000	0.114	1680.000	0.137	1680.000	0.159
1740.000	0.072	1740.000	0.118	1740.000	0.141	1740.000	0.164
1800.000	0.075	1800.000	0.122	1800.000	0.146	1800.000	0.169
1860.000	0.078	1860.000	0.125	1860.000	0.150	1860.000	0.174
1920.000	0.081	1920.000	0.130	1920.000	0.154	1920.000	0.179
1980.000	0.083	1980.000	0.133	1980.000	0.159	1980.000	0.185
2040.000	0.086	2040.000	0.137	2040.000	0.164	2040.000	0.190
2100.000	0.088	2100.000	0.141	2100.000	0.168	2100.000	0.195
2160.000	0.090	2160.000	0.145	2160.000	0.173	2160.000	0.200
2220.000	0.092	2220.000	0.148	2220.000	0.177	2220.000	0.205
2280.000	0.095	2280.000	0.152	2280.000	0.182	2280.000	0.210
2340.000	0.097	2340.000	0.156	2340.000	0.186	2340.000	0.216
2400.000	0.100	2400.000	0.159	2400.000	0.190	2400.000	0.221
2460.000	0.102	2460.000	0.163	2460.000	0.195	2460.000	0.226
2520.000	0.104	2520.000	0.167	2520.000	0.199	2520.000	0.231
2580.000	0.106	2580.000	0.170	2580.000	0.203	2580.000	0.236
2640.000	0.110	2640.000	0.174	2640.000	0.208	2640.000	0.241
							
							
							
