Batch	rate145.rre												
Evolution 600	161008												
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005	Sample	Sample006	Sample	Sample007
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010	Date Collected	9/6/2010
Time Collected	1:27:47AM	Time Collected	1:27:54AM	Time Collected	1:28:01AM	Time Collected	1:28:09AM	Time Collected	1:28:16AM	Time Collected	1:28:24AM	Time Collected	2:42:37AM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	-0.005	0.000	-0.005	0.000	-0.003	0.000	-0.002	0.000	-0.001	0.000	-0.004
60.000	-0.001	60.000	-0.004	60.000	-0.005	60.000	-0.003	60.000	-0.003	60.000	-0.001	60.000	-0.003
120.000	0.000	120.000	-0.004	120.000	-0.005	120.000	-0.003	120.000	-0.002	120.000	0.000	120.000	-0.003
180.000	0.000	180.000	-0.004	180.000	-0.005	180.000	-0.004	180.000	-0.001	180.000	0.000	180.000	-0.003
240.000	0.000	240.000	-0.004	240.000	-0.005	240.000	-0.003	240.000	-0.001	240.000	0.000	240.000	-0.003
300.000	0.001	300.000	-0.004	300.000	-0.004	300.000	-0.003	300.000	0.000	300.000	0.000	300.000	-0.003
360.000	0.001	360.000	-0.003	360.000	-0.004	360.000	-0.003	360.000	0.000	360.000	0.001	360.000	-0.003
420.000	0.002	420.000	-0.003	420.000	-0.004	420.000	-0.003	420.000	0.000	420.000	0.001	420.000	-0.002
480.000	0.002	480.000	-0.003	480.000	-0.004	480.000	-0.004	480.000	0.000	480.000	0.001	480.000	-0.002
540.000	0.003	540.000	-0.003	540.000	-0.004	540.000	-0.003	540.000	0.001	540.000	0.002	540.000	-0.002
600.000	0.003	600.000	-0.003	600.000	-0.004	600.000	-0.003	600.000	0.001	600.000	0.002	600.000	-0.002
660.000	0.003	660.000	-0.002	660.000	-0.004	660.000	-0.003	660.000	0.002	660.000	0.002	660.000	-0.002
720.000	0.004	720.000	-0.002	720.000	-0.004	720.000	-0.003	720.000	0.001	720.000	0.003	720.000	-0.002
780.000	0.004	780.000	-0.002	780.000	-0.004	780.000	-0.003	780.000	0.002	780.000	0.002	780.000	-0.002
840.000	0.005	840.000	-0.001	840.000	-0.003	840.000	-0.003	840.000	0.002	840.000	0.003	840.000	-0.002
900.000	0.005	900.000	0.000	900.000	-0.004	900.000	-0.003	900.000	0.003	900.000	0.003	900.000	-0.002
960.000	0.006	960.000	-0.001	960.000	-0.003	960.000	-0.003	960.000	0.003	960.000	0.003	960.000	-0.001
1020.000	0.006	1020.000	0.000	1020.000	-0.003	1020.000	-0.003	1020.000	0.003	1020.000	0.004	1020.000	-0.001
1080.000	0.007	1080.000	0.000	1080.000	-0.003	1080.000	-0.003	1080.000	0.004	1080.000	0.004	1080.000	-0.001
1140.000	0.007	1140.000	0.001	1140.000	-0.003	1140.000	-0.003	1140.000	0.004	1140.000	0.004	1140.000	-0.001
1200.000	0.007	1200.000	0.001	1200.000	-0.003	1200.000	-0.003	1200.000	0.004	1200.000	0.004	1200.000	-0.001
1260.000	0.008	1260.000	0.001	1260.000	-0.002	1260.000	-0.002	1260.000	0.004	1260.000	0.004	1260.000	-0.001
1320.000	0.008	1320.000	0.002	1320.000	-0.002	1320.000	-0.002	1320.000	0.005	1320.000	0.005	1320.000	-0.001
1380.000	0.009	1380.000	0.002	1380.000	-0.002	1380.000	-0.002	1380.000	0.005	1380.000	0.005	1380.000	-0.001
1440.000	0.009	1440.000	0.002	1440.000	-0.002	1440.000	-0.002	1440.000	0.006	1440.000	0.005	1440.000	-0.001
1500.000	0.009	1500.000	0.002	1500.000	-0.002	1500.000	-0.002	1500.000	0.006	1500.000	0.005	1500.000	0.000
1560.000	0.010	1560.000	0.003	1560.000	-0.002	1560.000	-0.002	1560.000	0.006	1560.000	0.006	1560.000	0.000
1620.000	0.010	1620.000	0.003	1620.000	-0.001	1620.000	-0.002	1620.000	0.007	1620.000	0.005	1620.000	0.000
1680.000	0.011	1680.000	0.004	1680.000	-0.002	1680.000	-0.002	1680.000	0.007	1680.000	0.006	1680.000	0.000
1740.000	0.011	1740.000	0.004	1740.000	-0.002	1740.000	-0.002	1740.000	0.007	1740.000	0.006	1740.000	0.000
1800.000	0.012	1800.000	0.005	1800.000	-0.002	1800.000	-0.001	1800.000	0.008	1800.000	0.006	1800.000	0.000
1860.000	0.012	1860.000	0.006	1860.000	-0.001	1860.000	-0.002	1860.000	0.008	1860.000	0.007	1860.000	0.000
1920.000	0.012	1920.000	0.005	1920.000	-0.001	1920.000	-0.001	1920.000	0.009	1920.000	0.007	1920.000	0.001
1980.000	0.013	1980.000	0.006	1980.000	-0.001	1980.000	-0.001	1980.000	0.009	1980.000	0.007	1980.000	0.000
2040.000	0.014	2040.000	0.006	2040.000	-0.001	2040.000	-0.001	2040.000	0.009	2040.000	0.007	2040.000	0.000
2100.000	0.015	2100.000	0.007	2100.000	-0.001	2100.000	-0.001	2100.000	0.009	2100.000	0.007	2100.000	0.000
2160.000	0.015	2160.000	0.007	2160.000	-0.001	2160.000	0.000	2160.000	0.010	2160.000	0.007	2160.000	0.000
2220.000	0.016	2220.000	0.008	2220.000	-0.001	2220.000	0.000	2220.000	0.010	2220.000	0.008	2220.000	0.000
2280.000	0.017	2280.000	0.008	2280.000	-0.001	2280.000	0.000	2280.000	0.011	2280.000	0.008	2280.000	0.000
2340.000	0.017	2340.000	0.009	2340.000	0.000	2340.000	0.000	2340.000	0.011	2340.000	0.008	2340.000	0.001
2400.000	0.018	2400.000	0.009	2400.000	0.000	2400.000	0.001	2400.000	0.012	2400.000	0.008	2400.000	0.001
2460.000	0.019	2460.000	0.011	2460.000	0.000	2460.000	0.001	2460.000	0.012	2460.000	0.008	2460.000	0.001
2520.000	0.019	2520.000	0.011	2520.000	0.000	2520.000	0.001	2520.000	0.013	2520.000	0.009	2520.000	0.001
2580.000	0.020	2580.000	0.011	2580.000	0.000	2580.000	0.002	2580.000	0.013	2580.000	0.009	2580.000	0.001
2640.000	0.021	2640.000	0.012	2640.000	0.000	2640.000	0.002	2640.000	0.013	2640.000	0.009	2640.000	0.001
2700.000	0.021	2700.000	0.013	2700.000	0.001	2700.000	0.002	2700.000	0.014	2700.000	0.009	2700.000	0.001
2760.000	0.022	2760.000	0.013	2760.000	0.000	2760.000	0.003	2760.000	0.014	2760.000	0.009	2760.000	0.001
2820.000	0.023	2820.000	0.014	2820.000	0.001	2820.000	0.003	2820.000	0.014	2820.000	0.010	2820.000	0.001
2880.000	0.023	2880.000	0.015	2880.000	0.001	2880.000	0.003	2880.000	0.014	2880.000	0.010	2880.000	0.001
2940.000	0.024	2940.000	0.016	2940.000	0.001	2940.000	0.004	2940.000	0.015	2940.000	0.010	2940.000	0.001
3000.000	0.025	3000.000	0.016	3000.000	0.001	3000.000	0.004	3000.000	0.016	3000.000	0.010	3000.000	0.001
3060.000	0.026	3060.000	0.017	3060.000	0.002	3060.000	0.005	3060.000	0.016	3060.000	0.010	3060.000	0.002
3120.000	0.027	3120.000	0.017	3120.000	0.002	3120.000	0.001	3120.000	0.016	3120.000	0.011	3120.000	0.001
3180.000	0.027	3180.000	0.018	3180.000	0.002	3180.000	0.001	3180.000	0.016	3180.000	0.010	3180.000	0.001
3240.000	0.028	3240.000	0.019	3240.000	0.002	3240.000	0.001	3240.000	0.017	3240.000	0.011	3240.000	0.001
3300.000	0.029	3300.000	0.020	3300.000	0.002	3300.000	0.002	3300.000	0.018	3300.000	0.011	3300.000	0.001
3360.000	0.030	3360.000	0.021	3360.000	0.002	3360.000	0.002	3360.000	0.018	3360.000	0.011	3360.000	0.002
3420.000	0.031	3420.000	0.022	3420.000	0.002	3420.000	0.002	3420.000	0.018	3420.000	0.011	3420.000	0.002
3480.000	0.029	3480.000	0.023	3480.000	0.002	3480.000	0.003	3480.000	0.019	3480.000	0.011	3480.000	0.002
3540.000	0.030	3540.000	0.023	3540.000	0.003	3540.000	0.003	3540.000	0.019	3540.000	0.012	3540.000	0.002
3600.000	0.031	3600.000	0.024	3600.000	0.003	3600.000	0.003	3600.000	0.020	3600.000	0.012	3600.000	0.002
