Batch	mads_t008.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/13/2010	Date Collected	4/13/2010	Date Collected	4/13/2010	Date Collected	4/13/2010
Time Collected	7:16:31PM	Time Collected	7:16:37PM	Time Collected	7:16:45PM	Time Collected	7:16:52PM
							
Substrate Conc.	1.5850 mmol/l	Substrate Conc.	3.1700 mmol/l	Substrate Conc.	4.7550 mmol/l	Substrate Conc.	6.3400 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
3969.000	0.154	3969.000	0.218	3969.000	0.247	3969.000	0.259
4018.000	0.156	4018.000	0.219	4018.000	0.250	4018.000	0.262
4067.000	0.158	4067.000	0.221	4067.000	0.252	4067.000	0.264
4116.000	0.158	4116.000	0.223	4116.000	0.254	4116.000	0.267
4165.000	0.160	4165.000	0.226	4165.000	0.257	4165.000	0.269
4214.000	0.162	4214.000	0.227	4214.000	0.259	4214.000	0.272
4263.000	0.163	4263.000	0.230	4263.000	0.260	4263.000	0.274
4312.000	0.165	4312.000	0.232	4312.000	0.263	4312.000	0.275
4361.000	0.166	4361.000	0.233	4361.000	0.265	4361.000	0.279
4410.000	0.168	4410.000	0.236	4410.000	0.269	4410.000	0.282
4459.000	0.169	4459.000	0.237	4459.000	0.271	4459.000	0.284
4508.000	0.170	4508.000	0.239	4508.000	0.273	4508.000	0.287
4557.000	0.173	4557.000	0.243	4557.000	0.275	4557.000	0.288
4606.000	0.174	4606.000	0.245	4606.000	0.277	4606.000	0.291
4655.000	0.175	4655.000	0.245	4655.000	0.280	4655.000	0.294
4704.000	0.177	4704.000	0.248	4704.000	0.281	4704.000	0.296
4753.000	0.178	4753.000	0.250	4753.000	0.283	4753.000	0.298
4802.000	0.180	4802.000	0.252	4802.000	0.286	4802.000	0.301
4851.000	0.181	4851.000	0.254	4851.000	0.288	4851.000	0.303
4900.000	0.182	4900.000	0.256	4900.000	0.290	4900.000	0.306
4949.000	0.183	4949.000	0.258	4949.000	0.292	4949.000	0.307
4998.000	0.185	4998.000	0.260	4998.000	0.294	4998.000	0.311
5047.000	0.187	5047.000	0.261	5047.000	0.297	5047.000	0.312
5096.000	0.188	5096.000	0.264	5096.000	0.300	5096.000	0.316
5145.000	0.190	5145.000	0.265	5145.000	0.301	5145.000	0.317
5194.000	0.191	5194.000	0.268	5194.000	0.302	5194.000	0.320
5243.000	0.192	5243.000	0.269	5243.000	0.304	5243.000	0.322
5292.000	0.194	5292.000	0.271	5292.000	0.306	5292.000	0.324
5341.000	0.196	5341.000	0.273	5341.000	0.308	5341.000	0.327
5390.000	0.196	5390.000	0.276	5390.000	0.311	5390.000	0.329
5439.000	0.198	5439.000	0.277	5439.000	0.313	5439.000	0.331
5488.000	0.199	5488.000	0.279	5488.000	0.314	5488.000	0.334
5537.000	0.200	5537.000	0.281	5537.000	0.317	5537.000	0.336
5586.000	0.201	5586.000	0.283	5586.000	0.319	5586.000	0.338
5635.000	0.203	5635.000	0.285	5635.000	0.321	5635.000	0.340
5684.000	0.204	5684.000	0.287	5684.000	0.323	5684.000	0.344
5733.000	0.205	5733.000	0.288	5733.000	0.326	5733.000	0.345
5782.000	0.206	5782.000	0.290	5782.000	0.328	5782.000	0.348
5831.000	0.208	5831.000	0.292	5831.000	0.329	5831.000	0.350
5880.000	0.210	5880.000	0.294	5880.000	0.331	5880.000	0.351
