Batch	mads_t011.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/15/2010	Date Collected	4/15/2010	Date Collected	4/15/2010	Date Collected	4/15/2010
Time Collected	1:10:31PM	Time Collected	1:10:39PM	Time Collected	1:10:46PM	Time Collected	1:10:53PM
							
Substrate Conc.	1.8498 mmol/l	Substrate Conc.	3.6966 mmol/l	Substrate Conc.	5.5493 mmol/l	Substrate Conc.	7.3990 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	-0.001	0.000	0.019	0.000	0.030	0.000	0.010
49.000	0.000	49.000	0.019	49.000	0.029	49.000	0.010
98.000	0.000	98.000	0.021	98.000	0.029	98.000	0.010
147.000	0.000	147.000	0.019	147.000	0.029	147.000	0.011
196.000	0.000	196.000	0.020	196.000	0.030	196.000	0.011
245.000	0.000	245.000	0.021	245.000	0.030	245.000	0.011
294.000	0.000	294.000	0.021	294.000	0.030	294.000	0.012
343.000	0.000	343.000	0.021	343.000	0.031	343.000	0.012
392.000	0.000	392.000	0.021	392.000	0.030	392.000	0.012
441.000	0.000	441.000	0.021	441.000	0.031	441.000	0.013
490.000	0.002	490.000	0.022	490.000	0.032	490.000	0.012
539.000	0.000	539.000	0.022	539.000	0.032	539.000	0.013
588.000	0.001	588.000	0.022	588.000	0.032	588.000	0.013
637.000	0.000	637.000	0.022	637.000	0.032	637.000	0.014
686.000	0.001	686.000	0.022	686.000	0.033	686.000	0.014
735.000	0.000	735.000	0.022	735.000	0.033	735.000	0.014
784.000	0.000	784.000	0.023	784.000	0.032	784.000	0.014
833.000	0.001	833.000	0.023	833.000	0.033	833.000	0.014
882.000	0.000	882.000	0.022	882.000	0.034	882.000	0.014
931.000	0.001	931.000	0.023	931.000	0.033	931.000	0.014
980.000	0.001	980.000	0.023	980.000	0.033	980.000	0.015
1029.000	0.001	1029.000	0.023	1029.000	0.034	1029.000	0.015
1078.000	0.001	1078.000	0.023	1078.000	0.034	1078.000	0.015
1127.000	0.001	1127.000	0.023	1127.000	0.033	1127.000	0.015
1176.000	0.001	1176.000	0.024	1176.000	0.034	1176.000	0.015
1225.000	0.002	1225.000	0.024	1225.000	0.034	1225.000	0.015
1274.000	0.001	1274.000	0.023	1274.000	0.034	1274.000	0.016
1323.000	0.001	1323.000	0.024	1323.000	0.034	1323.000	0.016
1372.000	0.001	1372.000	0.024	1372.000	0.034	1372.000	0.016
1421.000	0.001	1421.000	0.024	1421.000	0.034	1421.000	0.016
1470.000	0.000	1470.000	0.024	1470.000	0.034	1470.000	0.016
1519.000	0.001	1519.000	0.024	1519.000	0.034	1519.000	0.017
1568.000	0.001	1568.000	0.024	1568.000	0.035	1568.000	0.016
1617.000	0.001	1617.000	0.023	1617.000	0.035	1617.000	0.016
1666.000	0.001	1666.000	0.024	1666.000	0.035	1666.000	0.017
1715.000	0.001	1715.000	0.025	1715.000	0.035	1715.000	0.017
1764.000	0.001	1764.000	0.024	1764.000	0.034	1764.000	0.017
1813.000	0.001	1813.000	0.024	1813.000	0.035	1813.000	0.017
1862.000	0.001	1862.000	0.025	1862.000	0.034	1862.000	0.017
1911.000	0.001	1911.000	0.024	1911.000	0.035	1911.000	0.017
1960.000	0.001	1960.000	0.024	1960.000	0.035	1960.000	0.017
2009.000	0.001	2009.000	0.025	2009.000	0.035	2009.000	0.017
2058.000	0.001	2058.000	0.025	2058.000	0.036	2058.000	0.017
2107.000	0.000	2107.000	0.025	2107.000	0.036	2107.000	0.018
2156.000	0.000	2156.000	0.025	2156.000	0.036	2156.000	0.017
2205.000	0.001	2205.000	0.025	2205.000	0.035	2205.000	0.017
2254.000	0.000	2254.000	0.025	2254.000	0.036	2254.000	0.018
2303.000	0.001	2303.000	0.026	2303.000	0.036	2303.000	0.018
2352.000	0.001	2352.000	0.026	2352.000	0.036	2352.000	0.018
2401.000	0.001	2401.000	0.025	2401.000	0.036	2401.000	0.018
2450.000	0.000	2450.000	0.025	2450.000	0.036	2450.000	0.018
2499.000	0.000	2499.000	0.026	2499.000	0.036	2499.000	0.018
2548.000	0.000	2548.000	0.025	2548.000	0.036	2548.000	0.018
2597.000	0.001	2597.000	0.026	2597.000	0.036	2597.000	0.018
2646.000	0.000	2646.000	0.026	2646.000	0.036	2646.000	0.019
2695.000	0.001	2695.000	0.025	2695.000	0.036	2695.000	0.019
