Batch	rate040.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/28/2010	Date Collected	4/28/2010	Date Collected	4/28/2010	Date Collected	4/28/2010
Time Collected	10:55:21PM	Time Collected	10:55:28PM	Time Collected	10:55:36PM	Time Collected	10:55:43PM
							
Substrate Conc.	0.0953 mmol/l	Substrate Conc.	0.1906 mmol/l	Substrate Conc.	0.2859 mmol/l	Substrate Conc.	0.3812 mmol/l
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	0.000	0.000	-0.007	0.000	-0.004	0.000	-0.001
31.000	0.000	31.000	-0.006	31.000	-0.004	31.000	-0.001
62.000	0.000	62.000	-0.006	62.000	-0.003	62.000	0.000
93.000	0.001	93.000	-0.006	93.000	-0.003	93.000	0.000
124.000	0.001	124.000	-0.006	124.000	-0.002	124.000	0.000
155.000	0.001	155.000	-0.006	155.000	-0.002	155.000	0.001
186.000	0.001	186.000	-0.005	186.000	-0.002	186.000	0.002
217.000	0.001	217.000	-0.005	217.000	-0.001	217.000	0.002
248.000	0.001	248.000	-0.005	248.000	0.000	248.000	0.002
279.000	0.002	279.000	-0.005	279.000	0.000	279.000	0.003
310.000	0.002	310.000	-0.004	310.000	0.000	310.000	0.003
341.000	0.002	341.000	-0.004	341.000	0.001	341.000	0.004
372.000	0.002	372.000	-0.004	372.000	0.001	372.000	0.005
403.000	0.002	403.000	-0.004	403.000	0.002	403.000	0.005
434.000	0.002	434.000	-0.004	434.000	0.002	434.000	0.006
465.000	0.002	465.000	-0.004	465.000	0.002	465.000	0.006
496.000	0.003	496.000	-0.004	496.000	0.003	496.000	0.007
527.000	0.003	527.000	-0.003	527.000	0.003	527.000	0.007
558.000	0.003	558.000	-0.003	558.000	0.004	558.000	0.007
589.000	0.003	589.000	-0.003	589.000	0.004	589.000	0.008
620.000	0.003	620.000	-0.003	620.000	0.004	620.000	0.008
651.000	0.003	651.000	-0.003	651.000	0.005	651.000	0.008
682.000	0.003	682.000	-0.003	682.000	0.005	682.000	0.009
713.000	0.004	713.000	-0.002	713.000	0.005	713.000	0.009
744.000	0.004	744.000	-0.002	744.000	0.006	744.000	0.010
775.000	0.003	775.000	-0.002	775.000	0.006	775.000	0.010
806.000	0.004	806.000	-0.002	806.000	0.006	806.000	0.011
837.000	0.004	837.000	-0.002	837.000	0.007	837.000	0.011
868.000	0.004	868.000	-0.002	868.000	0.007	868.000	0.011
899.000	0.004	899.000	-0.002	899.000	0.007	899.000	0.012
930.000	0.004	930.000	-0.002	930.000	0.008	930.000	0.012
961.000	0.005	961.000	-0.001	961.000	0.008	961.000	0.013
992.000	0.005	992.000	-0.001	992.000	0.008	992.000	0.013
1023.000	0.005	1023.000	-0.001	1023.000	0.009	1023.000	0.013
1054.000	0.006	1054.000	-0.001	1054.000	0.009	1054.000	0.014
1085.000	0.005	1085.000	-0.001	1085.000	0.009	1085.000	0.014
1116.000	0.005	1116.000	-0.001	1116.000	0.010	1116.000	0.014
1147.000	0.006	1147.000	-0.001	1147.000	0.010	1147.000	0.015
1178.000	0.006	1178.000	0.000	1178.000	0.010	1178.000	0.015
1209.000	0.006	1209.000	0.000	1209.000	0.010	1209.000	0.016
1240.000	0.006	1240.000	0.000	1240.000	0.011	1240.000	0.016
1271.000	0.006	1271.000	0.000	1271.000	0.011	1271.000	0.016
1302.000	0.006	1302.000	0.000	1302.000	0.011	1302.000	0.016
1333.000	0.006	1333.000	0.000	1333.000	0.012	1333.000	0.017
1364.000	0.006	1364.000	0.000	1364.000	0.012	1364.000	0.017
1395.000	0.006	1395.000	0.000	1395.000	0.012	1395.000	0.017
1426.000	0.007	1426.000	0.001	1426.000	0.012	1426.000	0.018
1457.000	0.007	1457.000	0.001	1457.000	0.013	1457.000	0.018
1488.000	0.007	1488.000	0.001	1488.000	0.013	1488.000	0.018
1519.000	0.007	1519.000	0.001	1519.000	0.013	1519.000	0.019
1550.000	0.007	1550.000	0.001	1550.000	0.014	1550.000	0.019
1581.000	0.007	1581.000	0.001	1581.000	0.014	1581.000	0.019
1612.000	0.007	1612.000	0.001	1612.000	0.014	1612.000	0.020
1643.000	0.007	1643.000	0.002	1643.000	0.014	1643.000	0.020
1674.000	0.007	1674.000	0.002	1674.000	0.014	1674.000	0.021
1705.000	0.008	1705.000	0.001	1705.000	0.015	1705.000	0.021
