experiment,sample,substrate,abs,e,buffer,pH,T,[enz],[h2o2],[sub]
148,5,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,24.964,10.816
148,6,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,14.685,10.816
148,7,BnOH,285,1.23,Pyrophosphate,7.6,25,0.021,5.14,10.816
129,1,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
129,2,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
129,3,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
129,4,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
60,1,BnOH,285,1.23,Boric,8.51,25,0.014,122.426,0.596
60,2,BnOH,285,1.23,Boric,8.51,25,0.014,122.426,2.981
60,3,BnOH,285,1.23,Boric,8.51,25,0.014,122.426,5.366
60,4,BnOH,285,1.23,Boric,8.51,25,0.014,122.426,7.751
21,1,4OMe-BnOH,300,7.53,Phosphate,8.5,25,0.241,82.5,1.85
21,2,4OMe-BnOH,300,7.53,Phosphate,8.5,25,0.241,82.5,3.7
21,3,4OMe-BnOH,300,7.53,Phosphate,8.5,25,0.241,82.5,5.549
21,4,4OMe-BnOH,300,7.53,Phosphate,8.5,25,0.241,82.5,7.399
59,1,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,0.596
59,2,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,2.981
59,3,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,5.366
59,4,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,7.751
58,1,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.133,156.398,0.534
58,2,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.133,157.143,0.894
58,3,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.133,157.143,1.788
58,4,4OMe-BnOH,300,7.53,Carbonate,9.48,25,0.133,157.143,3.576
85,1,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,14.297
85,2,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,8.17
85,3,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,4.085
85,4,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,2.918
85,5,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,2.042
85,6,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,1.021
85,7,4OMe-BnOH,300,7.53,Carbonate,11.84,25,0.168,244.853,0.511
45,1,4OMe-BnOH,300,7.53,Boric,9.7,25,0.27,82.5,1.529
45,2,4OMe-BnOH,300,7.53,Boric,9.7,25,0.27,82.5,3.057
45,3,4OMe-BnOH,300,7.53,Boric,9.7,25,0.27,82.5,4.586
45,4,4OMe-BnOH,300,7.53,Boric,9.7,25,0.27,82.5,6.114
55,1,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,2.062
55,2,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,4.124
55,3,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,6.186
55,4,BnOH,285,1.23,Boric,9.7,25,0.28,82.5,8.249
145,1,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,35.244,10.816
145,2,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,35.244,3.028
145,3,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,35.244,0.865
145,4,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,35.244,0.216
145,5,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,24.964,10.816
145,6,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,14.685,10.816
145,7,BnOH,285,1.23,Pyrophosphate,9.04,25,0.021,5.14,10.816
10,1,4OMe-BnOH,300,7.53,Phosphate,5.87,25,0.273,82.5,1.85
10,2,4OMe-BnOH,300,7.53,Phosphate,5.87,25,0.273,82.5,3.7
10,3,4OMe-BnOH,300,7.53,Phosphate,5.87,25,0.273,82.5,5.549
10,4,4OMe-BnOH,300,7.53,Phosphate,5.87,25,0.273,82.5,7.399
7,1,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,1.505
7,2,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,3.011
7,3,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,4.516
7,4,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,6.022
69,1,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,2.108
69,2,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,1.054
69,3,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,0.422
69,4,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,0.211
6,1,BnOH,285,1.23,Phosphate,6.71,25,0.0,165.0,3.665
6,2,BnOH,285,1.23,Phosphate,6.71,25,0.0,165.0,5.498
6,3,BnOH,285,1.23,Phosphate,6.71,25,0.0,165.0,7.331
6,4,BnOH,285,1.23,Phosphate,6.71,25,0.0,165.0,9.163
78,1,BnOH,285,1.23,Carbonate,9.4,25,0.014,122.426,6.325
78,2,BnOH,285,1.23,Carbonate,9.4,25,0.014,122.426,3.163
78,3,BnOH,285,1.23,Carbonate,9.4,25,0.014,122.426,1.265
78,4,BnOH,285,1.23,Carbonate,9.4,25,0.014,122.426,0.316
48,1,4OMe-BnOH,300,7.53,Boric,9.51,25,0.27,82.5,1.529
48,2,4OMe-BnOH,300,7.53,Boric,9.51,25,0.27,82.5,3.057
48,3,4OMe-BnOH,300,7.53,Boric,9.51,25,0.27,82.5,4.586
48,4,4OMe-BnOH,300,7.53,Boric,9.51,25,0.27,82.5,6.114
16,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,1.85
16,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,3.7
16,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,5.549
16,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,7.399
137,1,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,73.424,10.816
137,2,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,73.424,3.028
137,3,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,73.424,0.865
137,4,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,73.424,0.216
137,5,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,36.712,10.816
137,6,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,7.342,10.816
137,7,BnOH,285,1.23,Pyrophosphate,7.53,25,0.034,3.671,10.816
15,1,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.273,82.5,1.85
15,2,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.273,82.5,3.7
15,3,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.273,82.5,5.549
15,4,4OMe-BnOH,300,7.53,Phosphate,7.0,35,0.273,82.5,7.399
136,1,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,73.424,10.816
136,2,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,73.424,3.028
136,3,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,73.424,0.865
136,4,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,73.424,0.216
136,5,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,36.712,10.816
136,6,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,7.342,10.816
136,7,BnOH,285,1.23,Pyrophosphate,6.95,25,0.034,3.671,10.816
32,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,8.251
32,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,8.251
32,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,8.251
32,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.241,82.5,8.251
80,1,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,6.325
80,2,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,3.163
80,3,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,1.265
80,4,BnOH,285,1.23,Carbonate,9.4,25,0.0,122.426,0.316
4,1,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,1.614
4,2,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,3.228
4,3,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,4.842
4,4,4OMe-BnOH,300,7.53,Phosphate,6.71,25,0.175,82.5,6.456
40,1,4OMe-BnOH,300,7.53,Phosphate,6.97,25,0.0,82.5,0.048
40,2,4OMe-BnOH,300,7.53,Phosphate,6.97,25,0.0,82.5,0.095
40,3,4OMe-BnOH,300,7.53,Phosphate,6.97,25,0.0,82.5,0.143
40,4,4OMe-BnOH,300,7.53,Phosphate,6.97,25,0.0,82.5,0.191
84,1,4OMe-BnOH,300,7.53,Phosphate,7.5,25,0.017,122.426,14.297
127,1,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
127,2,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
127,3,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
127,4,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
22,1,4OMe-BnOH,300,7.53,Phosphate,6.5,25,0.241,82.5,1.85
22,2,4OMe-BnOH,300,7.53,Phosphate,6.5,25,0.241,82.5,3.7
22,3,4OMe-BnOH,300,7.53,Phosphate,6.5,25,0.241,82.5,5.549
22,4,4OMe-BnOH,300,7.53,Phosphate,6.5,25,0.241,82.5,7.399
