experiment,sample,substrate,abs,e,buffer,pH,T,[enz],[h2o2],[sub]
140,6,BnOH,285,1.23,Pyrophosphate,9.22,25,0.034,7.342,10.816
140,7,BnOH,285,1.23,Pyrophosphate,9.22,25,0.034,3.671,10.816
66,1,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,7.31
66,2,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,3.655
66,3,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,1.827
66,4,BnOH,285,1.23,Boric,8.51,25,0.028,122.426,0.365
141,1,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,73.424,10.816
141,2,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,73.424,3.028
141,3,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,73.424,0.865
141,4,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,73.424,0.216
141,5,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,36.712,10.816
141,6,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,7.342,10.816
141,7,BnOH,285,1.23,Pyrophosphate,9.15,25,0.014,3.671,10.816
82,1,BnOH,285,1.23,Phosphate,7.5,25,0.014,122.426,9.542
82,2,BnOH,285,1.23,Phosphate,7.5,25,0.014,122.426,7.952
82,3,BnOH,285,1.23,Phosphate,7.5,25,0.014,122.426,6.816
82,4,BnOH,285,1.23,Phosphate,7.5,25,0.014,122.426,4.771
76,1,BnOH,285,1.23,Pyrophosphate,9.02,25,0.028,122.426,6.325
76,2,BnOH,285,1.23,Pyrophosphate,9.02,25,0.028,122.426,3.163
76,3,BnOH,285,1.23,Pyrophosphate,9.02,25,0.028,122.426,1.265
76,4,BnOH,285,1.23,Pyrophosphate,9.02,25,0.028,122.426,0.316
77,1,BnOH,285,1.23,Carbonate,9.5,25,0.028,122.426,6.325
77,2,BnOH,285,1.23,Carbonate,9.5,25,0.028,122.426,3.163
77,3,BnOH,285,1.23,Carbonate,9.5,25,0.028,122.426,1.265
77,4,BnOH,285,1.23,Carbonate,9.5,25,0.028,122.426,0.316
37,1,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.27,82.5,12.228
37,2,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.27,82.5,12.228
37,3,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.27,82.5,12.228
37,4,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.27,82.5,12.228
36,1,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.241,82.5,57.9
36,2,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.241,82.5,57.9
36,3,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.241,82.5,57.9
36,4,4OMe-BnOH,300,7.53,Phosphate,7.53,40,0.241,82.5,57.9
12,1,4OMe-BnOH,300,7.53,Phosphate,8.95,25,0.273,82.5,1.85
12,2,4OMe-BnOH,300,7.53,Phosphate,8.95,25,0.273,82.5,3.7
12,3,4OMe-BnOH,300,7.53,Phosphate,8.95,25,0.273,82.5,5.549
12,4,4OMe-BnOH,300,7.53,Phosphate,8.95,25,0.273,82.5,7.399
38,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.191
38,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.381
38,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.572
19,1,4OMe-BnOH,300,7.53,Phosphate,7.0,15,0.241,82.5,1.85
19,2,4OMe-BnOH,300,7.53,Phosphate,7.0,15,0.241,82.5,3.7
19,3,4OMe-BnOH,300,7.53,Phosphate,7.0,15,0.241,82.5,5.549
19,4,4OMe-BnOH,300,7.53,Phosphate,7.0,15,0.241,82.5,7.399
14,1,4OMe-BnOH,300,7.53,Phosphate,7.0,25,0.273,82.5,1.85
14,2,4OMe-BnOH,300,7.53,Phosphate,7.0,25,0.273,82.5,3.7
14,3,4OMe-BnOH,300,7.53,Phosphate,7.0,25,0.273,82.5,5.549
14,4,4OMe-BnOH,300,7.53,Phosphate,7.0,25,0.273,82.5,7.399
131,1,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
131,2,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
131,3,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
131,4,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
35,1,4OMe-BnOH,300,7.53,Phosphate,7.5,40,0.241,82.5,8.251
35,2,4OMe-BnOH,300,7.53,Phosphate,7.5,40,0.241,82.5,8.251
35,3,4OMe-BnOH,300,7.53,Phosphate,7.5,40,0.241,82.5,8.251
35,4,4OMe-BnOH,300,7.53,Phosphate,7.5,40,0.241,82.5,8.251
44,1,4OMe-BnOH,300,7.53,Boric,10.07,25,0.27,82.5,1.529
44,2,4OMe-BnOH,300,7.53,Boric,10.07,25,0.27,82.5,3.057
44,3,4OMe-BnOH,300,7.53,Boric,10.07,25,0.27,82.5,4.586
44,4,4OMe-BnOH,300,7.53,Boric,10.07,25,0.27,82.5,6.114
67,1,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,7.31
67,2,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,3.655
67,3,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,1.827
67,4,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,0.365
13,1,4OMe-BnOH,300,7.53,Boric,9.5,25,0.273,82.5,1.85
13,2,4OMe-BnOH,300,7.53,Boric,9.5,25,0.273,82.5,3.7
13,3,4OMe-BnOH,300,7.53,Boric,9.5,25,0.273,82.5,5.549
13,4,4OMe-BnOH,300,7.53,Boric,9.5,25,0.273,82.5,7.399
23,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,2.063
