Complexity,Loss,Equation
1,3.3182485e-5,"0.011768732"
3,1.4753849e-6,"x0 * 4.5241504e-6"
5,4.7661732e-7,"(x0 * 3.9309252e-6) + 0.0019812575"
7,1.5419721e-7,"sqrt(x0 * sqrt(x0)) * 3.488035e-5"
8,1.5419712e-7,"(sqrt(x0) * 3.4880213e-5) * sqrt(sqrt(x0))"
9,1.4943028e-7,"sqrt(sqrt(x0) * (x0 + -35.225197)) * 3.508692e-5"
