Time,Value
0.0,0.01
49.0,0.01
98.0,0.01
147.0,0.011
196.0,0.011
245.0,0.01
294.0,0.012
343.0,0.012
392.0,0.012
441.0,0.012
490.0,0.012
539.0,0.012
588.0,0.013
637.0,0.013
686.0,0.012
735.0,0.012
784.0,0.013
833.0,0.012
882.0,0.012
931.0,0.013
980.0,0.013
1029.0,0.012
1078.0,0.013
1127.0,0.012
1176.0,0.013
1225.0,0.012
1274.0,0.012
1323.0,0.012
1372.0,0.012
1421.0,0.012
1470.0,0.013
1519.0,0.012
1568.0,0.012
1617.0,0.013
1666.0,0.013
1715.0,0.012
1764.0,0.013
1813.0,0.012
1862.0,0.013
1911.0,0.012
1960.0,0.013
2009.0,0.012
2058.0,0.012
2107.0,0.012
2156.0,0.012
2205.0,0.012
2254.0,0.012
2303.0,0.012
2352.0,0.012
2401.0,0.013
2450.0,0.012
2499.0,0.012
2548.0,0.012
2597.0,0.013
2646.0,0.012
2695.0,0.013
2744.0,0.012
2793.0,0.011
2842.0,0.012
2891.0,0.012
2940.0,0.012
2989.0,0.012
3038.0,0.013
3087.0,0.013
3136.0,0.012
3185.0,0.013
3234.0,0.013
3283.0,0.013
3332.0,0.013
3381.0,0.013
3430.0,0.013
3479.0,0.013
3528.0,0.013
3577.0,0.013
3626.0,0.013
3675.0,0.013
3724.0,0.013
3773.0,0.013
3822.0,0.013
3871.0,0.013
3920.0,0.013
3969.0,0.014
4018.0,0.013
4067.0,0.013
4116.0,0.014
4165.0,0.014
4214.0,0.014
4263.0,0.015
4312.0,0.015
4361.0,0.014
4410.0,0.014
4459.0,0.014
4508.0,0.015
4557.0,0.015
4606.0,0.014
4655.0,0.014
4704.0,0.015
4753.0,0.014
4802.0,0.015
4851.0,0.014
4900.0,0.015
4949.0,0.015
4998.0,0.015
5047.0,0.015
5096.0,0.015
5145.0,0.015
5194.0,0.016
5243.0,0.016
5292.0,0.016
5341.0,0.015
5390.0,0.016
5439.0,0.015
5488.0,0.016
5537.0,0.016
5586.0,0.015
5635.0,0.016
5684.0,0.015
5733.0,0.015
5782.0,0.016
5831.0,0.016
5880.0,0.016
5929.0,0.016
5978.0,0.017
6027.0,0.017
6076.0,0.016
6125.0,0.017
6174.0,0.016
6223.0,0.016
6272.0,0.017
6321.0,0.016
6370.0,0.017
6419.0,0.017
6468.0,0.017
6517.0,0.016
6566.0,0.017
6615.0,0.017
6664.0,0.017
6713.0,0.017
6762.0,0.017
6811.0,0.016
6860.0,0.017
6909.0,0.017
6958.0,0.017
7007.0,0.016
7056.0,0.017
7105.0,0.017
7154.0,0.017
7203.0,0.017
7252.0,0.017
7301.0,0.017
7350.0,0.017
7399.0,0.017
7448.0,0.017
7497.0,0.017
7546.0,0.017
7595.0,0.018
7644.0,0.018
7693.0,0.017
7742.0,0.017
7791.0,0.018
7840.0,0.018
7889.0,0.018
7938.0,0.018
7987.0,0.018
8036.0,0.018
8085.0,0.019
8134.0,0.019
8183.0,0.018
8232.0,0.018
8281.0,0.019
8330.0,0.019
8379.0,0.019
8428.0,0.018
8477.0,0.019
8526.0,0.019
8575.0,0.019
8624.0,0.02
8673.0,0.02
8722.0,0.019
8771.0,0.019
8820.0,0.019
8869.0,0.019
8918.0,0.019
8967.0,0.019
9016.0,0.02
9065.0,0.02
9114.0,0.02
9163.0,0.02
9212.0,0.021
9261.0,0.02
9310.0,0.02
9359.0,0.02
9408.0,0.02
9457.0,0.02
9506.0,0.02
9555.0,0.02
9604.0,0.02
9653.0,0.02
9702.0,0.021
9751.0,0.021
9800.0,0.021
9849.0,0.021
9898.0,0.021
9947.0,0.021
9996.0,0.022
10045.0,0.021
10094.0,0.021
10143.0,0.021
10192.0,0.02
10241.0,0.022
10290.0,0.022
10339.0,0.022
10388.0,0.021
10437.0,0.022
10486.0,0.021
10535.0,0.021
10584.0,0.022
10633.0,0.022
10682.0,0.022
10731.0,0.022
10780.0,0.022
10829.0,0.023
10878.0,0.023
10927.0,0.022
10976.0,0.023
11025.0,0.023
11074.0,0.023
11123.0,0.023
11172.0,0.023
11221.0,0.022
11270.0,0.023
11319.0,0.023
11368.0,0.023
11417.0,0.023
11466.0,0.023
11515.0,0.024
11564.0,0.023
11613.0,0.024
11662.0,0.023
11711.0,0.023
11760.0,0.024
11809.0,0.024
11858.0,0.024
11907.0,0.024
11956.0,0.024
12005.0,0.023
12054.0,0.024
12103.0,0.025
12152.0,0.025
12201.0,0.025
12250.0,0.024
12299.0,0.024
12348.0,0.025
12397.0,0.025
12446.0,0.025
12495.0,0.025
12544.0,0.025
12593.0,0.025
12642.0,0.026
12691.0,0.026
12740.0,0.026
12789.0,0.025
12838.0,0.026
12887.0,0.026
12936.0,0.026
12985.0,0.027
13034.0,0.026
13083.0,0.025
13132.0,0.026
13181.0,0.026
13230.0,0.027
13279.0,0.026
13328.0,0.027
13377.0,0.026
13426.0,0.027
13475.0,0.027
13524.0,0.027
13573.0,0.027
13622.0,0.027
13671.0,0.028
13720.0,0.027
13769.0,0.027
13818.0,0.027
13867.0,0.027
13916.0,0.029
13965.0,0.027
14014.0,0.027
14063.0,0.028
14112.0,0.028
14161.0,0.028
14210.0,0.028
14259.0,0.027
14308.0,0.028
14357.0,0.029
14406.0,0.029
14455.0,0.029
14504.0,0.029
14553.0,0.029
14602.0,0.03
14651.0,0.029
14700.0,0.029
14749.0,0.029
14798.0,0.03
14847.0,0.029
14896.0,0.03
14945.0,0.03
14994.0,0.03
15043.0,0.029
15092.0,0.029
15141.0,0.029
15190.0,0.03
15239.0,0.03
15288.0,0.03
15337.0,0.03
15386.0,0.031
15435.0,0.03
15484.0,0.03
15533.0,0.03
15582.0,0.031
15631.0,0.031
15680.0,0.031
15729.0,0.031
15778.0,0.031
15827.0,0.032
15876.0,0.031
15925.0,0.032
15974.0,0.032
16023.0,0.032
16072.0,0.032
16121.0,0.031
16170.0,0.032
16219.0,0.031
16268.0,0.033
16317.0,0.032
16366.0,0.032
16415.0,0.033
16464.0,0.032
16513.0,0.033
16562.0,0.033
16611.0,0.033
16660.0,0.033
16709.0,0.033
16758.0,0.033
16807.0,0.033
16856.0,0.033
16905.0,0.033
16954.0,0.033
17003.0,0.034
17052.0,0.033
17101.0,0.034
17150.0,0.035
17199.0,0.034
17248.0,0.034
17297.0,0.034
17346.0,0.035
17395.0,0.035
17444.0,0.035
17493.0,0.035
17542.0,0.035
17591.0,0.035
17640.0,0.035
17689.0,0.035
17738.0,0.035
17787.0,0.035
17836.0,0.035
17885.0,0.036
17934.0,0.036
17983.0,0.036
