Time,Value
0.0,0.0
49.0,0.0
98.0,0.001
147.0,0.001
196.0,0.001
245.0,0.002
294.0,0.001
343.0,0.001
392.0,0.001
441.0,0.001
490.0,0.002
539.0,0.001
588.0,0.002
637.0,0.001
686.0,0.001
735.0,0.002
784.0,0.002
833.0,0.001
882.0,0.001
931.0,0.001
980.0,0.001
1029.0,0.001
1078.0,0.002
1127.0,0.001
1176.0,0.001
1225.0,0.001
1274.0,0.001
1323.0,0.001
1372.0,0.001
1421.0,0.001
1470.0,0.001
1519.0,0.001
1568.0,0.001
1617.0,0.001
1666.0,0.001
1715.0,0.001
1764.0,0.001
1813.0,0.0
1862.0,0.001
1911.0,0.0
1960.0,0.001
2009.0,0.0
2058.0,0.001
2107.0,0.0
2156.0,0.0
2205.0,0.0
2254.0,0.001
2303.0,0.0
2352.0,0.0
2401.0,0.0
2450.0,0.0
2499.0,0.0
2548.0,0.0
2597.0,0.001
2646.0,0.0
2695.0,0.001
2744.0,0.0
2793.0,0.0
2842.0,0.001
2891.0,0.0
2940.0,0.0
2989.0,0.0
3038.0,0.0
3087.0,0.0
3136.0,0.001
3185.0,0.0
3234.0,0.0
3283.0,0.0
3332.0,0.0
3381.0,0.0
3430.0,0.0
3479.0,0.0
3528.0,0.0
3577.0,0.0
3626.0,0.0
3675.0,0.0
3724.0,0.0
3773.0,0.0
3822.0,0.001
3871.0,0.0
3920.0,0.0
3969.0,0.0
4018.0,0.0
4067.0,0.0
4116.0,0.0
4165.0,0.0
4214.0,0.001
4263.0,0.0
4312.0,0.001
4361.0,0.001
4410.0,0.001
4459.0,0.0
4508.0,0.0
4557.0,0.001
4606.0,0.0
4655.0,0.001
4704.0,0.0
4753.0,0.0
4802.0,0.001
4851.0,0.001
4900.0,0.001
4949.0,0.001
4998.0,0.001
5047.0,0.001
5096.0,0.001
5145.0,0.001
5194.0,0.001
5243.0,0.001
5292.0,0.001
5341.0,0.001
5390.0,0.001
5439.0,0.001
5488.0,0.002
5537.0,0.001
5586.0,0.001
5635.0,0.001
5684.0,0.001
5733.0,0.002
5782.0,0.001
5831.0,0.001
5880.0,0.001
5929.0,0.001
5978.0,0.002
6027.0,0.001
6076.0,0.002
6125.0,0.002
6174.0,0.001
6223.0,0.002
6272.0,0.002
6321.0,0.002
6370.0,0.002
6419.0,0.002
6468.0,0.002
6517.0,0.002
6566.0,0.001
6615.0,0.001
6664.0,0.002
6713.0,0.002
6762.0,0.002
6811.0,0.001
6860.0,0.002
6909.0,0.002
6958.0,0.002
7007.0,0.002
7056.0,0.002
7105.0,0.002
7154.0,0.002
7203.0,0.002
7252.0,0.003
7301.0,0.002
7350.0,0.001
7399.0,0.002
7448.0,0.002
7497.0,0.002
7546.0,0.002
7595.0,0.002
7644.0,0.002
7693.0,0.002
7742.0,0.003
7791.0,0.002
7840.0,0.003
7889.0,0.003
7938.0,0.003
7987.0,0.003
8036.0,0.003
8085.0,0.003
8134.0,0.003
8183.0,0.003
8232.0,0.003
8281.0,0.004
8330.0,0.004
8379.0,0.004
8428.0,0.003
8477.0,0.003
8526.0,0.003
8575.0,0.004
8624.0,0.004
