Complexity,Loss,Equation
1,0.00040632082,"0.041314762"
3,1.2978821e-5,"x0 * 2.7546846e-6"
5,2.1654673e-6,"(x0 * 2.4130281e-6) - -0.0065671676"
7,2.165441e-6,"(0.72792155 - (x0 * -2.4129934e-6)) + -0.7213544"
8,8.7400053e-7,"(x0 * 1.7301709e-6) - (sqrt(x0) * -0.00014496932)"
10,8.718142e-7,"0.00027004094 - ((sqrt(x0) * -0.00013965271) + (x0 * -1.7536976e-6))"
12,8.718138e-7,"0.00027004094 - ((x0 * -1.7537042e-6) + ((sqrt(x0) + 0.00027004094) * -0.00013965271))"
