Complexity,Loss,Equation
1,5.1692812e-5,"0.0090227965"
3,3.8037742e-6,"x0 * 6.532373e-6"
5,1.2162419e-6,"x0 * (x0 * 2.811302e-9)"
6,1.9894554e-7,"sqrt(x0) * (x0 * 1.3893842e-7)"
8,1.1952521e-7,"sqrt(x0) * ((x0 * 1.4855803e-7) - 2.185659e-5)"
9,1.1942203e-7,"x0 * ((sqrt(sqrt(x0)) * 2.0873322e-6) - 7.762477e-6)"
10,1.193458e-7,"(((x0 * 1.4910778e-7) + -2.4388943e-5) * sqrt(x0)) - -5.8667538e-5"
