Complexity,Loss,Equation
1,1.3922591e-5,"0.0062968046"
3,1.7875967e-6,"x0 * 4.3251833e-7"
5,1.7692483e-6,"(x0 * 4.1845612e-7) + 0.00027024208"
7,1.0239684e-6,"((x0 * 1.4492799e-11) * x0) + 0.0022851224"
