Batch	mads_t002.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010
Time Collected	6:43:40PM	Time Collected	6:43:47PM	Time Collected	6:43:54PM	Time Collected	6:44:01PM
							
Substrate Conc.	1.5199 mmol/l	Substrate Conc.	3.0397 mmol/l	Substrate Conc.	4.5596 mmol/l		
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
3969.000	0.005	3969.000	0.014	3969.000	0.057	3969.000	0.027
4018.000	0.004	4018.000	0.013	4018.000	0.057	4018.000	0.027
4067.000	0.004	4067.000	0.014	4067.000	0.056	4067.000	0.027
4116.000	0.005	4116.000	0.014	4116.000	0.057	4116.000	0.027
4165.000	0.005	4165.000	0.014	4165.000	0.057	4165.000	0.027
4214.000	0.005	4214.000	0.014	4214.000	0.058	4214.000	0.028
4263.000	0.004	4263.000	0.014	4263.000	0.056	4263.000	0.028
4312.000	0.004	4312.000	0.015	4312.000	0.057	4312.000	0.028
4361.000	0.004	4361.000	0.015	4361.000	0.057	4361.000	0.029
4410.000	0.005	4410.000	0.015	4410.000	0.058	4410.000	0.028
4459.000	0.005	4459.000	0.015	4459.000	0.058	4459.000	0.029
4508.000	0.005	4508.000	0.015	4508.000	0.057	4508.000	0.029
4557.000	0.005	4557.000	0.015	4557.000	0.057	4557.000	0.029
4606.000	0.005	4606.000	0.016	4606.000	0.057	4606.000	0.029
4655.000	0.005	4655.000	0.016	4655.000	0.058	4655.000	0.029
4704.000	0.006	4704.000	0.016	4704.000	0.057	4704.000	0.029
4753.000	0.006	4753.000	0.016	4753.000	0.058	4753.000	0.030
4802.000	0.005	4802.000	0.016	4802.000	0.058	4802.000	0.030
4851.000	0.005	4851.000	0.016	4851.000	0.058	4851.000	0.030
4900.000	0.005	4900.000	0.017	4900.000	0.058	4900.000	0.031
4949.000	0.005	4949.000	0.017	4949.000	0.059	4949.000	0.030
4998.000	0.005	4998.000	0.016	4998.000	0.058	4998.000	0.031
5047.000	0.006	5047.000	0.017	5047.000	0.059	5047.000	0.031
5096.000	0.006	5096.000	0.017	5096.000	0.059	5096.000	0.031
5145.000	0.006	5145.000	0.017	5145.000	0.059	5145.000	0.032
5194.000	0.006	5194.000	0.017	5194.000	0.059	5194.000	0.033
5243.000	0.006	5243.000	0.017	5243.000	0.058	5243.000	0.032
5292.000	0.006	5292.000	0.018	5292.000	0.059	5292.000	0.033
5341.000	0.006	5341.000	0.018	5341.000	0.059	5341.000	0.033
5390.000	0.006	5390.000	0.018	5390.000	0.059	5390.000	0.033
5439.000	0.007	5439.000	0.018	5439.000	0.060	5439.000	0.034
5488.000	0.006	5488.000	0.018	5488.000	0.060	5488.000	0.033
5537.000	0.006	5537.000	0.019	5537.000	0.060	5537.000	0.034
5586.000	0.007	5586.000	0.018	5586.000	0.060	5586.000	0.034
5635.000	0.007	5635.000	0.019	5635.000	0.061	5635.000	0.034
5684.000	0.007	5684.000	0.018	5684.000	0.060	5684.000	0.034
5733.000	0.007	5733.000	0.018	5733.000	0.060	5733.000	0.035
5782.000	0.007	5782.000	0.019	5782.000	0.061	5782.000	0.035
5831.000	0.007	5831.000	0.019	5831.000	0.060	5831.000	0.035
5880.000	0.007	5880.000	0.019	5880.000	0.061	5880.000	0.035
5929.000	0.007	5929.000	0.020	5929.000	0.060	5929.000	0.035
5978.000	0.007	5978.000	0.020	5978.000	0.061	5978.000	0.036
6027.000	0.007	6027.000	0.020	6027.000	0.061	6027.000	0.036
6076.000	0.008	6076.000	0.020	6076.000	0.061	6076.000	0.035
6125.000	0.007	6125.000	0.020	6125.000	0.062	6125.000	0.036
6174.000	0.008	6174.000	0.020	6174.000	0.061	6174.000	0.037
6223.000	0.008	6223.000	0.021	6223.000	0.061	6223.000	0.037
6272.000	0.007	6272.000	0.020	6272.000	0.061	6272.000	0.037
6321.000	0.007	6321.000	0.020	6321.000	0.062	6321.000	0.037
6370.000	0.008	6370.000	0.021	6370.000	0.062	6370.000	0.038
6419.000	0.008	6419.000	0.021	6419.000	0.062	6419.000	0.038
6468.000	0.008	6468.000	0.021	6468.000	0.061	6468.000	0.038
6517.000	0.008	6517.000	0.021	6517.000	0.061	6517.000	0.038
6566.000	0.009	6566.000	0.021	6566.000	0.062	6566.000	0.039
6615.000	0.008	6615.000	0.022	6615.000	0.062	6615.000	0.039
6664.000	0.008	6664.000	0.021	6664.000	0.063	6664.000	0.039
6713.000	0.009	6713.000	0.022	6713.000	0.063	6713.000	0.039
6762.000	0.008	6762.000	0.022	6762.000	0.063	6762.000	0.039
6811.000	0.008	6811.000	0.022	6811.000	0.063	6811.000	0.040
6860.000	0.009	6860.000	0.022	6860.000	0.063	6860.000	0.039
6909.000	0.009	6909.000	0.022	6909.000	0.063	6909.000	0.040
6958.000	0.009	6958.000	0.022	6958.000	0.063	6958.000	0.040
7007.000	0.009	7007.000	0.022	7007.000	0.062	7007.000	0.040
7056.000	0.009	7056.000	0.022	7056.000	0.063	7056.000	0.041
7105.000	0.009	7105.000	0.023	7105.000	0.063	7105.000	0.041
7154.000	0.009	7154.000	0.022	7154.000	0.063	7154.000	0.041
7203.000	0.009	7203.000	0.023	7203.000	0.064	7203.000	0.041
7252.000	0.009	7252.000	0.023	7252.000	0.064	7252.000	0.041
7301.000	0.009	7301.000	0.024	7301.000	0.064	7301.000	0.042
7350.000	0.009	7350.000	0.023	7350.000	0.063	7350.000	0.042
7399.000	0.009	7399.000	0.023	7399.000	0.064	7399.000	0.042
7448.000	0.010	7448.000	0.024	7448.000	0.064	7448.000	0.042
7497.000	0.009	7497.000	0.024	7497.000	0.064	7497.000	0.043
7546.000	0.009	7546.000	0.024	7546.000	0.064	7546.000	0.042
7595.000	0.009	7595.000	0.024	7595.000	0.064	7595.000	0.043
7644.000	0.010	7644.000	0.025	7644.000	0.065	7644.000	0.044
7693.000	0.010	7693.000	0.024	7693.000	0.065	7693.000	0.045
7742.000	0.010	7742.000	0.024	7742.000	0.065	7742.000	0.044
7791.000	0.010	7791.000	0.025	7791.000	0.064	7791.000	0.044
7840.000	0.010	7840.000	0.025	7840.000	0.065	7840.000	0.044
7889.000	0.010	7889.000	0.025	7889.000	0.065	7889.000	0.045
