Batch	rate057.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	6/4/2010	Date Collected	6/4/2010	Date Collected	6/4/2010	Date Collected	6/4/2010
Time Collected	2:42:47PM	Time Collected	2:42:53PM	Time Collected	2:43:00PM	Time Collected	3:33:39PM
Inhibitor Conc.	0.4693 mmol/L						
Substrate Conc.	1.5286 mmol/L	Substrate Conc.	0.9386 mmol/L	Substrate Conc.	1.8772 mmol/L	Substrate Conc.	3.7545 mmol/L
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
0.000	-0.002	0.000	0.008	0.000	0.020	0.000	0.041
60.000	-0.003	60.000	0.009	60.000	0.023	60.000	0.046
120.000	-0.002	120.000	0.011	120.000	0.026	120.000	0.050
180.000	-0.002	180.000	0.014	180.000	0.028	180.000	0.054
240.000	-0.001	240.000	0.019	240.000	0.030	240.000	0.057
300.000	-0.002	300.000	0.028	300.000	0.034	300.000	0.061
360.000	0.000	360.000	0.041	360.000	0.035	360.000	0.064
420.000	-0.001	420.000	0.052	420.000	0.038	420.000	0.067
480.000	0.001	480.000	0.052	480.000	0.039	480.000	0.071
540.000	0.000	540.000	0.047	540.000	0.041	540.000	0.074
600.000	0.001	600.000	0.057	600.000	0.043	600.000	0.077
660.000	0.002	660.000	0.069	660.000	0.045	660.000	0.081
720.000	0.002	720.000	0.065	720.000	0.047	720.000	0.083
780.000	0.002	780.000	0.077	780.000	0.048	780.000	0.086
840.000	0.002	840.000	0.078	840.000	0.049	840.000	0.089
900.000	0.001	900.000	0.067	900.000	0.050	900.000	0.091
960.000	0.000	960.000	0.075	960.000	0.054	960.000	0.093
1020.000	0.001	1020.000	0.074	1020.000	0.054	1020.000	0.096
1080.000	0.001	1080.000	0.075	1080.000	0.054	1080.000	0.098
1140.000	0.000	1140.000	0.060	1140.000	0.055	1140.000	0.101
1200.000	0.001	1200.000	0.066	1200.000	0.056	1200.000	0.103
1260.000	0.001	1260.000	0.059	1260.000	0.057	1260.000	0.105
1320.000	0.002	1320.000	0.062	1320.000	0.060	1320.000	0.107
1380.000	0.002	1380.000	0.060	1380.000	0.063	1380.000	0.110
1440.000	0.001	1440.000	0.053	1440.000	0.064	1440.000	0.112
1500.000	0.001	1500.000	0.058	1500.000	0.063	1500.000	0.114
1560.000	0.001	1560.000	0.066	1560.000	0.066	1560.000	0.116
1620.000	0.000	1620.000	0.066	1620.000	0.065	1620.000	0.118
1680.000	0.002	1680.000	0.070	1680.000	0.067	1680.000	0.119
1740.000	0.001	1740.000	0.079	1740.000	0.068	1740.000	0.122
1800.000	0.001	1800.000	0.052	1800.000	0.070	1800.000	0.123
1860.000	0.001	1860.000	0.046	1860.000	0.072	1860.000	0.125
1920.000	0.001	1920.000	0.036	1920.000	0.073	1920.000	0.127
1980.000	0.001	1980.000	0.046	1980.000	0.072	1980.000	0.129
2040.000	0.001	2040.000	0.047	2040.000	0.074	2040.000	0.130
2100.000	0.002	2100.000	0.056	2100.000	0.074	2100.000	0.132
2160.000	0.000	2160.000	0.052	2160.000	0.075	2160.000	0.133
2220.000	0.000	2220.000	0.059	2220.000	0.077	2220.000	0.137
2280.000	0.001	2280.000	0.069	2280.000	0.077	2280.000	0.138
2340.000	0.000	2340.000	0.075	2340.000	0.078	2340.000	0.141
2400.000	0.000	2400.000	0.055	2400.000	0.080	2400.000	0.143
2460.000	0.001	2460.000	0.063	2460.000	0.080	2460.000	0.146
2520.000	0.000	2520.000	0.062	2520.000	0.082	2520.000	0.144
2580.000	0.000	2580.000	0.068	2580.000	0.082	2580.000	0.144
2640.000	0.000	2640.000	0.050	2640.000	0.083	2640.000	0.146
2700.000	0.000	2700.000	0.051	2700.000	0.083	2700.000	0.148
2760.000	0.000	2760.000	0.057	2760.000	0.086	2760.000	0.148
2820.000	0.000	2820.000	0.056	2820.000	0.085	2820.000	0.150
2880.000	0.000	2880.000	0.059	2880.000	0.086	2880.000	0.152
2940.000	0.000	2940.000	0.061	2940.000	0.086	2940.000	0.152
3000.000	0.000	3000.000	0.048	3000.000	0.087	3000.000	0.153
							
							
							
